{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:12.65', 'rssi': '-76', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:17.455', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:15.645', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:22.809', 'rssi': '-60', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:19.149', 'rssi': '-67', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:32.981', 'rssi': '-72', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:32.981', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '2E:BE:5A:CE:E1:F2', 'timestamp': '2022-05-17 02:01:29.591', 'rssi': '-58', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:40.698', 'rssi': '-67', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:40.698', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:40.418', 'rssi': '-72', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:40.178', 'rssi': '-76', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:46.76', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:45.286', 'rssi': '-66', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:48.950', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:01:54.86', 'rssi': '-59', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '2E:BE:5A:CE:E1:F2', 'timestamp': '2022-05-17 02:01:29.591', 'status': 'offline', 'rssi': '-58', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:06.431', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:05.131', 'rssi': '-71', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:11.306', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:11.26', 'rssi': '-73', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:10.46', 'rssi': '-64', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:18.236', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:19.981', 'rssi': '-64', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:19.981', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:18.691', 'rssi': '-71', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:24.553', 'rssi': '-67', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:24.493', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:32.951', 'rssi': '-60', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:38.321', 'rssi': '-72', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:38.321', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '2E:BE:5A:CE:E1:F2', 'timestamp': '2022-05-17 02:02:38.201', 'rssi': '-53', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:34.321', 'rssi': '-65', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:42.714', 'rssi': '-58', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '2E:BE:5A:CE:E1:F2', 'timestamp': '2022-05-17 02:02:47.875', 'rssi': '-55', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:02:51.9', 'rssi': '-61', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '2E:BE:5A:CE:E1:F2', 'timestamp': '2022-05-17 02:02:47.875', 'status': 'offline', 'rssi': '-55', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:03:18.661', 'rssi': '-77', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:03:18.661', 'rssi': '-63', 'radio': 'wifi'}
{'mrMac': '98:18:88:13:10:9D', 'clientType': 'visible', 'clientMac': '3E:28:CF:72:95:3A', 'timestamp': '2022-05-17 02:03:29.707', 'rssi': '-65', 'radio': 'wifi'}
